Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Steven Adams\adamsst01,C,26,OKC,7,7,187,26,52,.500,0,0,,26,52,.500,.500,6,23,.261,24,47,71,14,3,6,10,13,58
2,Bam Adebayo\adebaba01,C,22,MIA,9,9,286,37,68,.544,1,5,.200,36,63,.571,.551,40,67,.597,21,63,84,44,16,14,23,25,115
3,LaMarcus Aldridge\aldrila01,C,34,SAS,10,10,321,70,137,.511,3,12,.250,67,125,.536,.522,31,38,.816,21,40,61,24,7,18,22,24,174
4,Nickeil Alexander-Walker\alexani01,SG,21,NOP,10,0,123,18,62,.290,9,31,.290,9,31,.290,.363,5,6,.833,2,18,20,24,4,0,13,17,50
5,Grayson Allen\allengr01,SG,24,MEM,5,0,84,11,35,.314,5,19,.263,6,16,.375,.386,10,12,.833,1,9,10,8,2,0,7,10,37
6,Jarrett Allen\allenja01,C,21,BRK,9,6,238,31,51,.608,0,0,,31,51,.608,.608,19,36,.528,28,51,79,8,4,14,15,21,81
7,Al-Farouq Aminu\aminual01,PF,29,ORL,10,0,215,14,45,.311,6,19,.316,8,26,.308,.378,11,15,.733,12,39,51,10,10,6,9,22,45
8,Kyle Anderson\anderky01,SF,26,MEM,10,0,210,28,54,.519,2,10,.200,26,44,.591,.537,14,22,.636,7,34,41,23,7,8,8,19,72
9,Ryan Anderson\anderry01,PF,31,HOU,2,0,14,2,7,.286,1,5,.200,1,2,.500,.357,0,0,,0,7,7,2,1,0,1,1,5
10,Giannis Antetokounmpo\antetgi01,PF,25,MIL,10,10,331,107,183,.585,12,39,.308,95,144,.660,.617,71,110,.645,23,120,143,68,13,16,44,42,297
11,Kostas Antetokounmpo\antetko01,PF,22,LAL,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
12,Thanasis Antetokounmpo\antetth01,SF,27,MIL,1,0,6,1,2,.500,0,0,,1,2,.500,.500,0,0,,2,0,2,1,0,0,0,0,2
13,OG Anunoby\anunoog01,SF,22,TOR,10,10,300,46,83,.554,19,36,.528,27,47,.574,.669,6,10,.600,12,44,56,18,12,13,10,24,117
14,Ryan Arcidiacono\arcidry01,PG,25,CHI,10,0,144,11,26,.423,7,14,.500,4,12,.333,.558,8,9,.889,5,13,18,14,5,1,3,17,37
15,Trevor Ariza\arizatr01,SF,34,SAC,9,0,208,15,39,.385,12,30,.400,3,9,.333,.538,4,4,1.000,4,32,36,9,7,0,6,17,46
16,D.J. Augustin\augusdj01,PG,32,ORL,10,5,253,34,83,.410,6,24,.250,28,59,.475,.446,19,22,.864,5,11,16,42,4,0,10,9,93
17,Deandre Ayton\aytonde01,C,21,PHO,1,1,33,9,14,.643,0,0,,9,14,.643,.643,0,0,,3,8,11,0,1,4,0,2,18
18,Dwayne Bacon\bacondw01,SG,24,CHO,10,10,253,38,111,.342,8,31,.258,30,80,.375,.378,15,22,.682,7,26,33,16,8,1,18,24,99
19,Marvin Bagley\baglema01,PF,20,SAC,1,1,28,6,16,.375,0,0,,6,16,.375,.375,2,4,.500,4,6,10,0,1,1,1,1,14
20,Lonzo Ball\balllo01,PG,22,NOP,8,8,232,34,82,.415,18,49,.367,16,33,.485,.524,6,10,.600,6,30,36,49,13,1,19,14,92
21,Mo Bamba\bambamo01,C,21,ORL,8,0,105,17,47,.362,5,17,.294,12,30,.400,.415,1,4,.250,11,25,36,3,3,9,6,16,40
22,J.J. Barea\bareajo01,PG,35,DAL,1,0,16,3,6,.500,3,4,.750,0,2,.000,.750,2,2,1.000,1,0,1,3,0,0,2,0,11
23,Harrison Barnes\barneha02,SF,27,SAC,9,9,304,52,106,.491,14,37,.378,38,69,.551,.557,22,29,.759,14,33,47,15,12,2,7,13,140
24,RJ Barrett\barrerj01,SG,19,NYK,10,10,353,58,145,.400,12,35,.343,46,110,.418,.441,27,61,.443,12,46,58,36,13,3,27,27,155
25,Will Barton\bartowi01,SG,29,DEN,7,7,224,35,82,.427,13,25,.520,22,57,.386,.506,21,27,.778,11,43,54,16,10,6,12,10,104
26,Nicolas Batum\batumni01,SF,31,CHO,1,0,11,0,0,,0,0,,0,0,,,0,0,,1,3,4,2,0,0,2,2,0
27,Aron Baynes\baynear01,C,33,PHO,9,8,217,53,90,.589,18,38,.474,35,52,.673,.689,18,24,.750,16,36,52,28,3,9,10,38,142
28,Kent Bazemore\bazemke01,SF,30,POR,10,1,238,29,77,.377,13,35,.371,16,42,.381,.461,8,13,.615,3,45,48,14,11,9,16,40,79
29,Darius Bazley\bazleda01,PF,19,OKC,10,0,179,17,42,.405,10,25,.400,7,17,.412,.524,5,8,.625,2,38,40,8,3,3,12,9,49
30,Bradley Beal\bealbr01,SG,26,WAS,8,8,286,72,178,.404,22,75,.293,50,103,.485,.466,43,54,.796,10,28,38,52,9,2,31,22,209
31,Malik Beasley\beaslma01,SG,23,DEN,9,0,146,21,57,.368,12,29,.414,9,28,.321,.474,3,3,1.000,3,10,13,7,6,1,11,12,57
32,Marco Belinelli\belinma01,SG,33,SAS,10,0,168,17,64,.266,9,34,.265,8,30,.267,.336,7,10,.700,0,13,13,14,3,0,5,10,50
33,Jordan Bell\belljo01,PF,25,MIN,4,0,43,9,13,.692,0,1,.000,9,12,.750,.692,5,5,1.000,5,14,19,5,0,1,9,4,23
34,DeAndre' Bembry\bembrde01,SG,25,ATL,9,0,234,34,61,.557,1,7,.143,33,54,.611,.566,9,22,.409,11,27,38,28,13,2,17,21,78
35,Davis Bertans\bertada01,PF,27,WAS,8,0,220,32,72,.444,25,56,.446,7,16,.438,.618,8,9,.889,2,21,23,9,4,3,5,22,97
36,Patrick Beverley\beverpa01,PG,31,LAC,10,10,301,27,75,.360,7,39,.179,20,36,.556,.407,10,15,.667,12,56,68,31,16,5,18,34,71
37,Khem Birch\birchkh01,C,27,ORL,4,0,45,1,5,.200,0,1,.000,1,4,.250,.200,2,8,.250,3,6,9,1,1,0,0,3,4
38,Goga Bitadze\bitadgo01,C,20,IND,6,2,109,14,29,.483,3,8,.375,11,21,.524,.534,9,12,.750,11,19,30,9,0,13,8,20,40
39,Bismack Biyombo\biyombi01,C,27,CHO,8,1,101,20,30,.667,0,0,,20,30,.667,.667,12,25,.480,9,12,21,7,2,4,8,16,52
40,Nemanja Bjelica\bjeline01,PF,31,SAC,9,8,211,32,60,.533,17,33,.515,15,27,.556,.675,2,2,1.000,12,29,41,20,9,3,10,19,83
41,Eric Bledsoe\bledser01,PG,30,MIL,10,10,266,62,134,.463,15,50,.300,47,84,.560,.519,24,31,.774,9,48,57,50,6,3,19,29,163
42,Bogdan Bogdanovic\bogdabo01,SG,27,SAC,9,0,224,35,93,.376,24,60,.400,11,33,.333,.505,14,20,.700,1,22,23,30,9,1,13,20,108
43,Bojan Bogdanovic\bogdabo02,SF,30,UTA,9,9,290,64,137,.467,27,61,.443,37,76,.487,.566,31,33,.939,1,37,38,18,8,4,27,21,186
44,Jonah Bolden\boldejo01,PF,24,PHI,2,0,5,1,1,1.000,0,0,,1,1,1.000,1.000,0,2,.000,0,0,0,0,1,0,1,0,2
45,Jordan Bone\bonejo01,PG,22,DET,2,0,4,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,0,0,0,0,0,2,2,0
